"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C2";"0.1uF";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C3";"10nF";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C4";"0.1uF";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C5";"0.1uF";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C6";"10nF";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C7";"0.1uF";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C8";"0.1uF";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C9";"10nF";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C10";"0.1uF";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C11";"0.1uF";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C12";"0.1uF";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"IC1";"LM2902N";"LM2902N";"DIL14";"Low power quad operational amplifier";"";
"R1";"";"R-TRIMM64X";"RTRIM64X";"Trimm resistor";"";
"R2";"10k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
"R3";"10k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
"R4";"1k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
"R5";"19k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
"U$1";"ARDUINO_PRO_MICRO";"ARDUINO_PRO_MICRO";"ARDUINO_PRO_MICRO";"";"";
"U$2";"AD9837BCPZ";"AD9837";"AD9837";"Programmable waveform generator";"";
"U$3";"AD9837BCPZ";"AD9837";"AD9837";"Programmable waveform generator";"";
"U$4";"AD9837BCPZ";"AD9837";"AD9837";"Programmable waveform generator";"";
