"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CREATED_BY";"DESCRIPTION";"DIGIKEY_PARTNO";"MANUFACTURER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEMODEL";"SPICEPREFIX";"SPICEPREFIXL";
"$1_138_$_2022-03-09_07-07-56";"BC547";"BC547";"TO92";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"43";"";"";"";"";"";
"$1_139_$_2022-03-09_07-07-56";"EI 15V3W";"EI30-1";"EI30-1";"TRANSFORMER";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";
"$1_140_$_2022-03-09_07-07-56";"5202-06-N-02";"5202-06-N-02";"5202-06-N-02";"Barrier Blocks Sreies 5202";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";
"B1";"30A";"FB32";"FB32";"FAGOR RECTIFIER";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";
"B2";"2A";"1KAB";"1KAB";"RECTIFIER";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";
"B3";"2A";"1KAB";"1KAB";"RECTIFIER";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";
"B4";"2A";"1KAB";"1KAB";"RECTIFIER";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";
"C1";"330uF";"CPOL-EUB45181A";"B45181A";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"9";"";"";"";"C";"";
"C2";"330uF";"CPOL-EUB45181A";"B45181A";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"9";"";"";"";"C";"";
"C3";"330uF";"CPOL-EUB45181A";"B45181A";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"9";"";"";"";"C";"";
"C4";"100n";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";"";
"C5";"100n";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";"";
"C6";"100n";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";"";
"C7";"330uF 450V";"CPOL-EUE10-35";"EB35D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";"";
"C8";"330uF 450V";"CPOL-EUE10-35";"EB35D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";"";
"C9";"22uF";"CPOL-EUB45181A";"B45181A";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"9";"";"";"";"C";"";
"C10";"330uF 450V";"CPOL-EUE10-35";"EB35D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";"";
"C11";"330uF 450V";"CPOL-EUE10-35";"EB35D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";"";
"C12";"0.1uF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"29";"";"";"";"C";"";
"C13";"0.1uF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"29";"";"";"";"C";"";
"C14";"0.1uF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"29";"";"";"";"C";"";
"C15";"10n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C16";"10n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C17";"10n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C18";"10n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C19";"10n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C20";"10n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C21";"1nF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C22";"10n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C23";"1n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C24";"1n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C25";"1n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C26";"1n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C27";"1n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C28";"1n";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C29";"22uF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C30";"22uF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C31";"22uF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C32";"1nF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C33";"220uF";"CPOL-EUB45181B";"B45181B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"C";"";
"C34";"33nF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"C";"";
"C35";"22uF";"CPOL-EUB45181A";"B45181A";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"9";"";"";"";"C";"";
"C36";"22uF";"CPOL-EUB45181A";"B45181A";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"9";"";"";"";"C";"";
"C38";"0.22 uF 630 V";"C-EU150-091X182";"C150-091X182";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";"";
"C39";"100n";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";"";
"C40";"100n";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";"";
"D1";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"82";"";"";"";"";"";
"F1";"fuse";"SH22";"SH22";"FUSE HOLDER";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"0";"";"";"";"";"";
"IC1";"7815";"78MXXS";"78MXXS";"VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"IC2";"7812";"78MXXS";"78MXXS";"VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"IC3";"7805";"78MXXS";"78MXXS";"VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"IC4";"74HCT04D";"74HCT04D";"SO14";"Hex INVERTER";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";
"IC5";"FSBB30CH60";"FSBB30CH60";"FSBB30CH60";"Smart Power Module 600V-30A IGBT inverter for three-phase DC/AC power conversion";"In Stock";"";" Power Driver Module IGBT 3 Phase 600 V 30 A 27-PowerDIP Module (1.205, 30.60mm) ";"";"";"ON Semiconductor";"FSBB30CH60";"";"";"";"PowerDIP-27 Fairchild Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/FSBB30CH60/?ref=eda";"";"";"";
"JP1";"INVH";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"JP2";"INVL";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"JP3";"INUH";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"JP4";"INUL";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"JP5";"INWH";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"JP6";"INWL";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"JP7";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"JP8";"5V";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"K1";"JSM1-12V-5";"JSM1-12V-5";"JSM1-12V-5";"RELAY AUTOMOTIVE SPDT 15A 12V";"";"PCBLayout.com";"";"255-1240-ND";"Panasonic Electric Works";"";"";"JSM1-12V-5";"";"";"";"";"";"";"";"";"";
"OK1";"HCPL2530";"HCPL2530";"DIL08";"HEWLETT PACKARD OPTO COUPLER";"";"";"";"";"";"AGILENT TECHNOLOGIES";"";"HCPL-2530-000E";"9994793";"31K6974";"";"0";"";"";"";"";"";
"OK2";"HCPL2530";"HCPL2530";"DIL08";"HEWLETT PACKARD OPTO COUPLER";"";"";"";"";"";"AGILENT TECHNOLOGIES";"";"HCPL-2530-000E";"9994793";"31K6974";"";"0";"";"";"";"";"";
"OK3";"HCPL2530";"HCPL2530";"DIL08";"HEWLETT PACKARD OPTO COUPLER";"";"";"";"";"";"AGILENT TECHNOLOGIES";"";"HCPL-2530-000E";"9994793";"31K6974";"";"0";"";"";"";"";"";
"OK4";"HCPL2530";"HCPL2530";"DIL08";"HEWLETT PACKARD OPTO COUPLER";"";"";"";"";"";"AGILENT TECHNOLOGIES";"";"HCPL-2530-000E";"9994793";"31K6974";"";"0";"";"";"";"";"";
"Q1";"BC548";"BC548";"TO92-EBC";"NPN Transistor";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";
"R1";"220";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R2";"220";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R3";"220";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R4";"2K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R5";"2K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R6";"2K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R7";"2K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R8";"2K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R9";"2K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R10";"2K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R11";"2K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R12";"0.1";"RMPC70-2";"MPC70-2";"Power Resitor";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"0";"";"";"";"";"";
"R13";"100";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R14";"100";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R15";"100";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R16";"100";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R17";"100";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R18";"100";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R19";"100";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R20";"330";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R21";"47K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R22";"4K7";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R23";"2K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R24";"1K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R25";"22K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R30";"100";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R31";"1K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"R";"";
"R32";"";"R-TRIMM64P";"RTRIM64P";"Trimm resistor";"";"";"";"";"";"";"";"";"";"";"";"21";"";"";"X";"";"POT";
"SL1";"FAN";"M02";"02P";"AMP QUICK CONNECTOR";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"33";"";"";"";"";"";
"U1";"LM358AP";"LM358AP";"DIP794W45P254L959H508Q8";"Check availability";"In Stock";"";" Dual improved offset, standard operational amplifier<br /> &nbsp";" 8-PDIP 0 to 70 ";"";"";"Texas Instruments";"LM358AP";"";"";"";"PDIP-8 Texas";"";"None";"https://pricing.snapeda.com/search/part/LM358AP/?ref=eda";"";"";
